ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price
INCY,2026-03-06,95.6512,112.29,112.29
INCY,2026-03-09,94.6571,112.29,112.29
JBL,2026-03-09,235.6857,281.37,281.37
JNJ,2026-03-05,238.9669,251.71,251.71
LH,2026-02-17,267.5272,291.289,291.289
LH,2026-03-09,265.0903,291.289,291.289
LLY,2026-02-03,992.1422,1132.0605,1132.0605
LLY,2026-03-05,969.7835,1132.0605,1132.0605
MAR,2026-03-06,319.3706,369.2865,369.2865
MAR,2026-03-09,312.748,369.2865,369.2865
MCK,2026-03-05,922.2787,999.0,999.0
MCK,2026-03-06,916.5256,999.0,999.0
META,2026-03-09,626.8801,744.0,744.0
MRVL,2026-02-03,75.2423,102.6961,102.6961
MRVL,2026-02-04,73.3143,102.6961,102.6961
MRVL,2026-02-05,71.6356,102.6961,102.6961
NCLH,2026-03-02,21.7109,25.1,25.1
NTRS,2026-02-12,142.0693,156.7214,156.7214
NTRS,2026-02-23,137.9956,156.7214,156.7214
NTRS,2026-03-06,136.1949,156.7214,156.7214
NTRS,2026-03-09,134.2459,156.7214,156.7214
NUE,2026-02-13,181.3309,196.9,196.9
NUE,2026-03-09,165.5437,196.9,196.9
PCAR,2026-03-09,117.283,131.5375,131.5375
PCG,2026-03-05,18.1249,19.16,19.16
PEG,2026-03-03,82.3247,86.9314,86.9314
PSA,2026-03-09,297.2665,312.86,312.86
RCL,2026-03-02,292.7417,354.5014,354.5014
RCL,2026-03-06,270.4017,354.5014,354.5014
RCL,2026-03-09,263.126,354.5014,354.5014
REGN,2026-01-13,744.8827,820.1234,820.1234
RF,2026-02-12,29.3498,30.8732,30.8732
RL,2026-03-02,351.1373,389.15,389.15
RL,2026-03-03,344.0696,389.15,389.15
RL,2026-03-09,330.7671,389.15,389.15
RSG,2026-03-10,220.2735,233.42,233.42
SHW,2026-03-02,347.6112,376.9365,376.9365
SHW,2026-03-03,342.1798,376.9365,376.9365
SHW,2026-03-05,333.4382,376.9365,376.9365
SHW,2026-03-06,328.1466,376.9365,376.9365
SHW,2026-03-09,322.1271,376.9365,376.9365
SNA,2026-03-09,366.2202,390.05,390.05
STLD,2026-02-13,188.979,208.47,208.47
STLD,2026-03-09,177.3649,208.47,208.47
SW,2026-02-23,45.0256,52.22,52.22
SW,2026-03-09,41.3985,52.22,52.22
TECH,2026-02-12,58.4155,72.063,72.063
TECH,2026-03-09,52.6404,72.063,72.063
TMUS,2026-03-11,212.7,223.6745,223.6745
TRV,2026-03-06,299.9114,311.984,311.984
TSLA,2026-01-20,417.9916,498.83,498.83
TSLA,2026-01-29,416.0642,498.83,498.83
TSLA,2026-02-04,400.7087,498.83,498.83
TSLA,2026-02-05,393.6123,498.83,498.83
TSLA,2026-03-02,389.1044,498.83,498.83
TSLA,2026-03-09,383.1276,498.83,498.83
TXN,2026-02-24,211.8707,231.32,231.32
TXN,2026-03-05,195.9961,231.32,231.32
TXN,2026-03-06,192.8014,231.32,231.32
UAL,2026-03-06,91.6805,118.94,118.94
UAL,2026-03-09,88.5966,118.94,118.94
UDR,2026-03-11,35.9602,40.17,40.17
USB,2026-02-12,57.4878,61.19,61.19
USB,2026-02-23,55.7852,61.19,61.19
USB,2026-02-24,54.7855,61.19,61.19
USB,2026-03-09,50.3575,61.19,61.19
VTR,2026-03-05,84.299,87.87,87.87
VTRS,2026-02-26,15.0977,16.1619,16.1619
WMB,2026-03-09,73.1493,76.87,76.87
WMB,2026-03-10,72.676,76.87,76.87
WMT,2026-02-20,122.8246,134.69,134.69
