,ticker,trade_entered,ema_10_enter_date,ema_10_enter_price,ema_10_exit_date,ema_10_exit_price,ema_10_second_exit_date,ema_10_second_exit_price,ema_10_first_exit_profit,ema_10_second_exit_profit,target_price,second_target_price,stoploss
0,HII,False,2026-03-02,0.0,2026-03-02,0.0,2026-03-02,0.0,0.0,0.0,519.0281567654295,603.2749186044621,350.53463308736417
1,DG,True,2026-03-03,153.0399932861328,2026-02-13,0.0,2026-02-13,0.0,-100.0,-100.0,169.5,184.25,140.0
2,ROST,False,2026-02-09,0.0,2026-02-09,0.0,2026-02-09,0.0,0.0,0.0,205.14999389648438,215.37998962402344,184.69000244140625
3,UPS,True,2026-02-26,116.62999725341797,2026-03-06,102.1652397335797,2026-02-04,0.0,-12.402261734096342,-100.0,120.07548363778402,129.0306055898862,102.1652397335797
4,MU,True,2025-12-18,248.4496307373047,2026-01-06,343.42999267578125,2026-01-22,397.5799865722656,38.22922242090307,60.02438216245215,328.43729854053504,396.3998355265353,192.5122245685346
5,CIEN,True,2025-12-19,230.33999633789062,2026-02-02,268.489990234375,2026-02-18,310.9599914550781,16.562470479734376,35.00043257746879,260.1199951171875,306.0699920654297,168.22000122070312
6,WDC,False,2025-10-29,0.0,2025-10-29,0.0,2025-10-29,0.0,0.0,0.0,162.07204465867807,186.9201608982054,112.37581217962334
7,ANET,False,2025-10-29,0.0,2025-10-29,0.0,2025-10-29,0.0,0.0,0.0,188.5699920654297,214.45999145507812,136.7899932861328
8,INCY,True,2025-10-14,85.95999908447266,2025-11-03,101.56999969482422,2025-11-04,102.91999816894531,18.15961002397366,19.730106171599783,94.88999938964844,101.79000091552734,81.08999633789062
9,SHOP,True,2025-10-15,156.2100067138672,2025-10-28,178.9600067138672,2025-11-04,161.13999938964844,14.563727688503084,3.156003113687595,178.51998901367188,198.0299835205078,139.5
10,IBKR,True,2025-10-13,70.35765838623047,2025-11-21,59.802012500885816,2025-09-26,0.0,-15.002838535926138,-100.0,75.8515048812778,83.87625107147379,59.802012500885816
11,RTX,True,2025-10-20,159.5474090576172,2025-10-21,171.78819274902344,2025-12-15,181.50714111328125,7.672192086169039,13.76376600871893,170.66639128584038,181.2393599073361,149.5204540428489
12,LHX,False,2025-09-11,0.0,2025-09-11,0.0,2025-09-11,0.0,0.0,0.0,287.76903308417224,298.37469971825703,266.55769981600264
13,COF,True,2025-09-04,224.60313415527344,2025-10-10,201.53680271908607,2025-08-26,0.0,-10.269817259202211,-100.0,258.5842913650056,287.1080356879654,201.53680271908607
14,HAS,True,2025-09-04,79.11441040039062,2025-09-19,72.04343812888666,2025-08-13,0.0,-8.937654007302125,-100.0,81.73896267052965,86.58672494135114,72.04343812888666
15,QQQ,True,2025-08-22,570.5725708007812,2025-09-19,597.8856201171875,2025-10-27,627.2818603515625,4.786954493461404,9.939014325766044,596.1200419870411,619.0140147866795,550.3320963877643
16,LRCX,True,2025-08-25,100.79349517822266,2025-09-11,115.02481079101562,2025-09-18,125.71322631835938,14.11927980831423,24.72355095542004,113.6912399833178,125.28527509598766,90.50316975797809
17,BEN,True,2025-08-22,24.703372955322266,2025-10-01,22.22233581664427,2025-08-12,0.0,-10.043313288291113,-100.0,27.126040431363204,29.57789273872267,22.22233581664427
18,GS,True,2025-08-22,730.4552001953125,2025-09-11,776.7709350585938,2025-11-12,830.4608154296875,6.340667415455066,13.690862246943416,769.6613568495451,812.8157884812141,683.3524935862071
19,MS,True,2025-08-18,143.9039306640625,2025-09-10,153.18740844726562,2025-10-24,162.86846923828125,6.451163453536932,13.178610540173949,153.0583508364295,162.83054304448567,133.51396642031716
20,PH,True,2025-08-18,732.8699951171875,2025-11-06,832.3500366210938,2025-11-11,857.9299926757812,13.574036618595523,17.064417753737672,795.0673225836529,848.1560772964625,688.8898131580336
21,VST,True,2025-07-28,195.39691162109375,2025-09-05,180.7531022031825,2025-07-23,0.0,-7.494391439670231,-100.0,218.75914490974162,237.7621662630212,180.7531022031825
