ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price
AFL,2026-03-05,110.2801,118.6894,118.6894
AFL,2026-03-06,109.7797,118.6894,118.6894
AFL,2026-03-09,109.1409,118.6894,118.6894
ALL,2026-03-12,203.3629,215.6588,215.6588
AMGN,2026-03-05,366.6551,391.29,391.29
ANET,2026-02-23,126.6259,151.8,151.8
APD,2026-02-13,275.1161,296.46,296.46
AZO,2026-03-03,3596.6164,3887.03,3887.03
BBY,2026-02-20,63.0471,73.42,73.42
BBY,2026-02-23,61.7421,73.42,73.42
BMY,2026-03-06,59.5761,62.89,62.89
BMY,2026-03-12,58.4517,62.89,62.89
CAH,2026-03-06,216.2219,233.6,233.6
CARR,2026-03-06,58.1248,68.33,68.33
CARR,2026-03-09,57.077,68.33,68.33
CFG,2026-02-12,64.7563,68.79,68.79
CFG,2026-02-27,60.103,68.79,68.79
CHD,2026-03-05,99.8503,106.04,106.04
CHD,2026-03-06,98.9859,106.04,106.04
CHD,2026-03-13,97.5888,106.04,106.04
CI,2026-03-03,274.7225,296.1684,296.1684
COST,2026-03-06,970.2565,1028.4399,1028.4399
CTVA,2026-03-05,76.4073,80.905,80.905
CTVA,2026-03-06,75.8463,80.905,80.905
DAL,2026-03-02,62.5795,76.183,76.183
DAL,2026-03-05,60.368,76.183,76.183
DAL,2026-03-06,58.8245,76.183,76.183
DAL,2026-03-09,57.4467,76.183,76.183
DHI,2026-02-25,155.8458,169.17,169.17
DHI,2026-03-03,149.0845,169.17,169.17
DHI,2026-03-09,142.1957,169.17,169.17
DVA,2026-03-13,146.8105,159.42,159.42
EQIX,2026-03-09,920.4643,987.5178,987.5178
ESS,2026-02-12,250.7189,266.49,266.49
FCX,2026-03-03,63.0087,69.75,69.75
FCX,2026-03-06,58.87,69.75,69.75
FCX,2026-03-09,57.0805,69.75,69.75
FIX,2026-03-05,1309.3098,1499.2212,1499.2212
FIX,2026-03-09,1238.2171,1499.2212,1499.2212
FRT,2026-03-09,105.6098,110.89,110.89
FTV,2026-03-06,55.9914,62.3518,62.3518
FTV,2026-03-12,54.2549,62.3518,62.3518
GD,2026-01-28,345.059,369.7,369.7
GL,2026-03-06,139.7963,152.71,152.71
GL,2026-03-09,138.455,152.71,152.71
GM,2026-02-23,78.3623,87.413,87.413
GM,2026-02-27,78.0848,87.413,87.413
GM,2026-03-02,77.1986,87.413,87.413
GM,2026-03-03,75.7088,87.413,87.413
GM,2026-03-06,73.8613,87.413,87.413
GM,2026-03-09,72.964,87.413,87.413
HAS,2026-03-06,93.0357,106.2475,106.2475
HAS,2026-03-09,91.7231,106.2475,106.2475
HLT,2026-03-06,292.0818,333.7024,333.7024
HON,2026-03-09,230.9052,248.18,248.18
HST,2026-03-09,18.5536,21.0,21.0
IBKR,2026-02-05,68.9865,78.7155,78.7155
IBKR,2026-03-09,63.8104,79.095,79.095
JBL,2026-03-09,235.6857,281.37,281.37
JNJ,2026-03-05,238.9669,251.71,251.71
LH,2026-02-17,267.5272,291.289,291.289
LH,2026-03-09,265.0903,291.289,291.289
MAR,2026-03-06,319.3706,369.2865,369.2865
MAR,2026-03-09,312.748,369.2865,369.2865
MCK,2026-03-05,922.2787,999.0,999.0
MCK,2026-03-06,916.5256,999.0,999.0
MET,2026-02-05,75.1475,83.2534,83.2534
MET,2026-02-27,71.7939,83.2534,83.2534
MRVL,2026-02-03,75.2423,102.6961,102.6961
